50,13,13
45,13,40
41,9,48
59,9,48
53,5,50
19,10,30
39,12,42
47,10,45
90,9,40
45,9,40
35,10,40
43,9,40
26,13,40
26,5,40
36,10,40
31,10,40
29,13,40
38,10,40
35,12,60
28,9,45
27,9,40
29,9,35
23,10,25
23,13,20
24,9,50
58,9,50
40,8,40
26,11,45
36,9,18
59,9,16
41,11,60
62,13,48
55,3,25
22,9,40
32,9,40
41,6,30
63,11,20
51,9,32
90,9,40
22,13,20
68,4,8
28,13,45
26,13,40
24,13,65
48,9,40
34,9,40
20,10,40
36,15,50
33,10,16
51,10,40
37,9,44
28,10,20
50,11,45
38,9,48
20,10,14
43,9,40
18,8,6
51,10,45
58,8,52
59,6,40
27,10,50
35,9,40
26,13,40
65,9,40
31,10,40
19,10,36
21,10,40
32,13,37
65,4,50
20,9,40
66,6,40
28,12,3
27,13,40
49,10,40
32,9,40
61,14,4
20,10,15
29,10,55
35,4,75
39,10,35
54,4,40
38,9,40
21,11,40
37,10,40
22,10,25
39,9,40
27,10,40
20,10,24
31,11,20
54,10,48
35,13,40
19,10,35
29,9,65
45,11,40
42,7,40
31,10,40
27,10,40
23,9,40
30,9,40
41,13,55
26,13,45
32,13,40
37,12,40
29,9,40
43,9,40
52,9,35
22,9,22
22,5,30
33,10,25
30,9,60
43,10,40
20,10,40
35,13,20
55,9,45
35,13,50
74,9,17
41,10,40
34,14,50
61,9,3
39,9,40
30,10,25
38,9,60
41,9,40
63,9,32
25,13,40
18,7,15
21,9,20
24,10,40
31,10,50
23,10,20
30,13,40
43,9,44
35,9,30
42,10,60
29,9,30
27,9,40
65,9,10
31,11,24
29,10,40
61,4,31
28,13,40
46,11,38
62,9,40
30,9,40
20,10,15
35,9,40
36,9,20
19,7,30
33,13,40
30,8,40
18,7,20
34,9,40
20,10,35
34,12,40
52,9,40
33,10,40
45,10,40
22,9,35
17,7,20
52,9,40
40,12,30
29,10,30
25,7,40
19,9,26
27,11,40
19,7,40
44,7,60
58,4,24
19,5,25
20,12,40
26,10,43
22,11,40
63,9,40
48,9,48
34,9,45
75,13,24
29,6,40
23,13,40
28,9,40
29,9,45
28,9,40
17,8,15
26,10,40
41,9,60
31,9,18
57,9,40
27,10,49
17,8,16
18,8,12
29,9,40
35,11,40
21,10,25
29,4,30
26,9,35
46,4,40
29,11,50
27,13,40
25,9,40
38,10,40
55,9,40
33,12,56
27,10,40
55,11,35
42,3,40
72,2,40
63,10,60
20,9,40
33,5,50
41,10,15
17,8,18
26,10,40
20,6,40
42,9,50
25,13,50
44,10,40
36,9,28
44,5,50
34,9,40
33,12,40
55,7,40
59,9,40
58,10,40
37,14,40
27,13,25
33,9,40
21,9,35
63,4,30
25,9,38
23,9,40
42,4,25
44,13,40
20,9,45
39,9,18
21,10,40
36,9,33
19,9,40
25,10,40
18,7,22
31,9,40
43,9,60
68,2,20
53,13,50
38,13,50
24,12,50
17,5,24
39,14,40
63,9,45
31,13,25
38,9,50
46,9,25
27,10,40
32,13,50
63,2,35
47,9,40
31,13,45
28,13,55
57,13,80
27,13,20
31,10,45
17,7,10
19,9,20
44,9,40
23,9,50
28,11,42
22,10,40
25,9,40
24,10,15
47,10,55
23,10,25
43,10,35
34,9,40
26,10,50
19,9,40
34,12,40
21,10,40
36,13,40
40,10,39
