@relation kc_house_data_2000_noMILLIONS-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S22-N10-F4

@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute sqft_living numeric
@attribute sqft_lot numeric
@attribute floors numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute yr_built numeric
@attribute yr_renovated numeric
@attribute zipcode {98001,98002,98003,98004,98005,98006,98007,98008,98010,98011,98014,98019,98022,98023,98024,98027,98028,98029,98030,98031,98032,98033,98034,98038,98040,98042,98045,98052,98053,98055,98056,98058,98059,98065,98070,98072,98074,98075,98077,98092,98102,98103,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98122,98125,98126,98133,98136,98144,98146,98148,98155,98166,98168,98177,98178,98188,98198,98199}
@attribute sqft_living15 numeric
@attribute sqft_lot15 numeric
@attribute price {'\'(-inf-259600]\'','\'(259600-444200]\'','\'(444200-628800]\'','\'(628800-813400]\'','\'(813400-inf)\''}

@data
5,2,2270,2400,2,3,7,2270,0,1905,0,98122,1320,2400,'\'(628800-813400]\''
5,3.25,2400,3118,2,4,7,1780,620,1928,0,98122,2100,3941,'\'(628800-813400]\''
2,2.25,2130,4920,1.5,4,7,1530,600,1941,0,98116,2130,4920,'\'(628800-813400]\''
4,2.75,2610,8760,1,4,8,1760,850,1978,0,98040,2550,10376,'\'(628800-813400]\''
4,2.5,2440,10049,2,4,9,2440,0,1989,0,98029,2820,8484,'\'(628800-813400]\''
3,3.5,3830,221284,2,3,10,3530,300,1993,0,98077,2920,148539,'\'(628800-813400]\''
4,3,2950,5000,2,3,9,1980,970,1979,0,98126,2140,4000,'\'(628800-813400]\''
4,3.75,4610,40202,1,4,10,2500,2110,1980,0,98027,3050,41056,'\'(628800-813400]\''
2,1,1380,5000,1.5,3,5,1380,0,1905,0,98106,1500,5000,'\'(628800-813400]\''
4,1.5,2820,4000,2,3,7,2820,0,1911,0,98103,1470,1627,'\'(628800-813400]\''
3,2.5,2140,2770,2,3,8,1770,370,2007,0,98052,2510,2708,'\'(628800-813400]\''
2,1,1110,3200,1,3,7,1110,0,1925,0,98119,1170,3600,'\'(628800-813400]\''
5,3,3230,5167,1.5,4,8,2000,1230,1909,0,98133,1509,1626,'\'(628800-813400]\''
4,2.5,2341,9594,2,3,9,2341,0,1997,0,98052,2850,9421,'\'(628800-813400]\''
3,2.5,2160,4000,1.5,3,8,1960,200,1903,2013,98122,2160,5120,'\'(628800-813400]\''
6,2.75,3610,10003,1.5,4,8,3610,0,1966,0,98008,2560,10004,'\'(628800-813400]\''
6,2.25,2660,13579,2,3,7,2660,0,1937,1990,98125,1120,8242,'\'(628800-813400]\''
3,1,1240,5400,1,4,7,1060,180,1940,0,98133,1429,5400,'\'(259600-444200]\''
4,1,1760,7216,1,3,7,1090,670,1947,0,98133,1180,3844,'\'(259600-444200]\''
3,2.5,1630,11592,2,3,8,1630,0,1987,0,98011,1700,8850,'\'(259600-444200]\''
4,1,1500,6388,1.5,4,7,1500,0,1951,0,98126,980,5366,'\'(259600-444200]\''
2,1,750,8125,1,4,6,750,0,1943,0,98055,1340,8750,'\'(259600-444200]\''
2,2,1270,1372,3,3,8,1270,0,2000,0,98115,1610,3090,'\'(259600-444200]\''
4,1.75,2020,7865,1,4,7,1010,1010,1963,0,98059,1650,7865,'\'(259600-444200]\''
3,1,1500,4000,1,3,6,900,600,1925,0,98117,950,4000,'\'(259600-444200]\''
5,1.5,2550,6300,1,4,7,1560,990,1959,0,98056,1380,6300,'\'(259600-444200]\''
