@relation kc_house_data_2000_noMILLIONS-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N7-F7

@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute sqft_living numeric
@attribute sqft_lot numeric
@attribute floors numeric
@attribute condition numeric
@attribute grade numeric
@attribute sqft_above numeric
@attribute sqft_basement numeric
@attribute yr_built numeric
@attribute yr_renovated numeric
@attribute zipcode {98001,98002,98003,98004,98005,98006,98007,98008,98010,98011,98014,98019,98022,98023,98024,98027,98028,98029,98030,98031,98032,98033,98034,98038,98040,98042,98045,98052,98053,98055,98056,98058,98059,98065,98070,98072,98074,98075,98077,98092,98102,98103,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98122,98125,98126,98133,98136,98144,98146,98148,98155,98166,98168,98177,98178,98188,98198,98199}
@attribute sqft_living15 numeric
@attribute sqft_lot15 numeric
@attribute price {'\'(-inf-259600]\'','\'(259600-444200]\'','\'(444200-628800]\'','\'(628800-813400]\'','\'(813400-inf)\''}

@data
3,3,4040,14338,2,3,10,3030,1010,1986,0,98077,3360,14142,'\'(813400-inf)\''
4,2.5,3670,315374,2,4,9,3670,0,1994,0,98077,2840,87991,'\'(813400-inf)\''
6,3.75,4210,6105,2,3,9,3280,930,2008,0,98059,3820,6368,'\'(813400-inf)\''
5,2.75,3595,5639,2,3,9,3595,0,2014,0,98053,3625,5639,'\'(813400-inf)\''
4,2.75,3130,21810,2,4,10,3130,0,1993,0,98077,3330,21810,'\'(813400-inf)\''
2,1,1150,12775,1,4,6,1150,0,1908,0,98178,2440,11852,'\'(813400-inf)\''
4,3.25,3330,17533,1,3,9,1750,1580,1969,0,98033,3340,12798,'\'(813400-inf)\''
5,2.5,4150,96574,2,3,10,4150,0,1988,0,98053,3320,40803,'\'(813400-inf)\''
4,2.25,2530,9200,1,5,9,1570,960,1976,0,98006,3030,9400,'\'(813400-inf)\''
2,1,1530,6350,1.5,4,7,1530,0,1923,0,98112,2640,6350,'\'(813400-inf)\''
4,3,2720,183823,2,3,8,2720,0,1975,2007,98053,2140,173804,'\'(813400-inf)\''
5,3,2920,2808,2,3,8,2140,780,1960,1992,98103,1620,1544,'\'(813400-inf)\''
4,1,1300,1651359,1,4,6,1300,0,1920,0,98022,2560,425581,'\'(628800-813400]\''
3,1,1570,2280,2,3,7,1570,0,1922,0,98119,1580,2640,'\'(628800-813400]\''
5,2.5,2820,14062,2,4,7,2380,440,1960,0,98034,1910,10392,'\'(628800-813400]\''
4,2.5,2630,4000,3,3,8,2630,0,2002,0,98117,1640,4000,'\'(628800-813400]\''
4,2,2208,5000,3,5,8,2208,0,1917,0,98116,1760,5000,'\'(628800-813400]\''
3,1.75,2080,9162,1,3,7,1370,710,1960,0,98005,1870,8944,'\'(628800-813400]\''
3,3.5,3830,221284,2,3,10,3530,300,1993,0,98077,2920,148539,'\'(628800-813400]\''
4,4,3280,8448,2,3,10,3280,0,2007,0,98075,3730,8030,'\'(628800-813400]\''
3,2.25,2910,10204,2,3,9,2910,0,1990,0,98052,2700,13992,'\'(628800-813400]\''
4,2.5,1710,9627,1,3,9,1440,270,1976,2014,98006,2140,9131,'\'(628800-813400]\''
4,2.5,2660,5608,2,3,9,2660,0,2003,0,98029,3010,5608,'\'(628800-813400]\''
5,3,3070,9804,1,4,9,1740,1330,1968,0,98006,2550,9689,'\'(628800-813400]\''
